Tier,ServiceType,ServiceType1,DeviceType,DeviceModel,ServiceCategory,ServiceCategory1,IDF
Tier 1B,WAN,wan,MPLS Route Reflector A,Cisco ASR 1001-X,NetOps Services,net_ops,No
Tier 1C,WAN,wan,MPLS Route Reflector A,Cisco ASR 1001-X,NetOps Services,net_ops,No
Tier 2A,WAN,wan,MPLS Route Reflector A,NONE,NetOps Services,net_ops,No
Tier 2B,WAN,wan,MPLS Route Reflector A,NONE,NetOps Services,net_ops,No
Tier 1A,DC-Ops,dc_ops,Mgmt Switch,NONE,DC-Ops,dc_ops,No
Tier 1B,DC-Ops,dc_ops,Mgmt Switch,NONE,DC-Ops,dc_ops,No
Tier 1C,DC-Ops,dc_ops,Mgmt Switch,NONE,DC-Ops,dc_ops,No
Tier 1A,Network Services,network_services,Load Balancer,NONE,Net-Auth Services,net_auth,No
Tier 1B,Network Services,network_services,Load Balancer,NONE,Net-Auth Services,net_auth,No
Tier 1C,Network Services,network_services,Load Balancer,NONE,Net-Auth Services,net_auth,No
Tier 1A,LAN-WLAN,lan_wlan,LAN DMZ B,Cisco C9500-48Y4C-A,NetOps Services,net_ops,No
Tier 1B,LAN-WLAN,lan_wlan,LAN DMZ B,Cisco C9500-48Y4C-A,NetOps Services,net_ops,No
Tier 1C,LAN-WLAN,lan_wlan,LAN DMZ B,Cisco C9500-48Y4C-A,NetOps Services,net_ops,No
Tier 2A,LAN-WLAN,lan_wlan,LAN DMZ B,Cisco C9500-24Y4C-A,NetOps Services,net_ops,No
Tier 2B,LAN-WLAN,lan_wlan,LAN DMZ B,Cisco C9500-24Y4C-A,NetOps Services,net_ops,No
Tier 1A,LAN-WLAN,lan_wlan,LAN DMZ A,Cisco C9500-48Y4C-A,NetOps Services,net_ops,No
Tier 1B,LAN-WLAN,lan_wlan,LAN DMZ A,Cisco C9500-48Y4C-A,NetOps Services,net_ops,No
Tier 1C,LAN-WLAN,lan_wlan,LAN DMZ A,Cisco C9500-48Y4C-A,NetOps Services,net_ops,No
Tier 2A,LAN-WLAN,lan_wlan,LAN DMZ A,Cisco C9500-24Y4C-A,NetOps Services,net_ops,No
Tier 2B,LAN-WLAN,lan_wlan,LAN DMZ A,Cisco C9500-24Y4C-A,NetOps Services,net_ops,No
Tier 1A,LAN-WLAN,lan_wlan,LAN Core B,Cisco C9500-48Y4C-A,NetOps Services,net_ops,No
Tier 1B,LAN-WLAN,lan_wlan,LAN Core B,Cisco C9500-48Y4C-A,NetOps Services,net_ops,No
Tier 1C,LAN-WLAN,lan_wlan,LAN Core B,Cisco C9500-48Y4C-A,NetOps Services,net_ops,No
Tier 2A,LAN-WLAN,lan_wlan,LAN Core B,Cisco C9500-48Y4C-A,NetOps Services,net_ops,No
Tier 2B,LAN-WLAN,lan_wlan,LAN Core B,Cisco C9500-24Y4C-A,NetOps Services,net_ops,No
Tier 1A,LAN-WLAN,lan_wlan,LAN Core A,Cisco C9500-48Y4C-A,NetOps Services,net_ops,No
Tier 1B,LAN-WLAN,lan_wlan,LAN Core A,Cisco C9500-48Y4C-A,NetOps Services,net_ops,No
Tier 1C,LAN-WLAN,lan_wlan,LAN Core A,Cisco C9500-48Y4C-A,NetOps Services,net_ops,No
Tier 2A,LAN-WLAN,lan_wlan,LAN Core A,Cisco C9500-48Y4C-A,NetOps Services,net_ops,No
Tier 2B,LAN-WLAN,lan_wlan,LAN Core A,Cisco C9500-24Y4C-A,NetOps Services,net_ops,No
Tier 1A,WAN,wan,Internet Router B,Cisco ASR 1002-X (8GB),NetOps Services,net_ops,No
Tier 1B,WAN,wan,Internet Router B,Cisco ASR 1001-X,NetOps Services,net_ops,No
Tier 1C,WAN,wan,Internet Router B,Cisco ASR 1001-X,NetOps Services,net_ops,No
Tier 2A,WAN,wan,Internet Router B,NONE,NetOps Services,net_ops,No
Tier 2B,WAN,wan,Internet Router B,NONE,NetOps Services,net_ops,No
Tier 1A,WAN,wan,Internet Router A,Cisco ASR 1002-X (8GB),NetOps Services,net_ops,No
Tier 1B,WAN,wan,Internet Router A,Cisco ASR 1001-X,NetOps Services,net_ops,No
Tier 1C,WAN,wan,Internet Router A,Cisco ASR 1001-X,NetOps Services,net_ops,No
Tier 2A,WAN,wan,Internet Router A,NONE,NetOps Services,net_ops,No
Tier 2B,WAN,wan,Internet Router A,NONE,NetOps Services,net_ops,No
Tier 1A,WAN,wan,Int Route Reflector B,Cisco ASR 1002-X (8GB),NetOps Services,net_ops,No
Tier 1B,WAN,wan,Int Route Reflector B,Cisco ASR 1001-X,NetOps Services,net_ops,No
Tier 1C,WAN,wan,Int Route Reflector B,Cisco ASR 1001-X,NetOps Services,net_ops,No
Tier 2A,WAN,wan,Int Route Reflector B,NONE,NetOps Services,net_ops,No
Tier 2B,WAN,wan,Int Route Reflector B,NONE,NetOps Services,net_ops,No
Tier 1A,WAN,wan,Int Route Reflector A,Cisco ASR 1002-X (8GB),NetOps Services,net_ops,No
Tier 1B,WAN,wan,Int Route Reflector A,Cisco ASR 1001-X,NetOps Services,net_ops,No
Tier 1C,WAN,wan,Int Route Reflector A,Cisco ASR 1001-X,NetOps Services,net_ops,No
Tier 2A,WAN,wan,Int Route Reflector A,NONE,NetOps Services,net_ops,No
Tier 2B,WAN,wan,Int Route Reflector A,NONE,NetOps Services,net_ops,No
Tier 1A,Network Services,network_services,InfoBlox Maintenance,IB-MNT-PRM,Net-Auth Services,net_auth,No
Tier 1B,Network Services,network_services,InfoBlox Maintenance,IB-MNT-PRM,Net-Auth Services,net_auth,No
Tier 1C,Network Services,network_services,InfoBlox Maintenance,IB-MNT-PRM,Net-Auth Services,net_auth,No
Tier 2A,Network Services,network_services,InfoBlox Maintenance,IB-MNT-PRM,Net-Auth Services,net_auth,No
Tier 1A,Network Services,network_services,InfoBlox License VM Trinzic V8B5,TE-V825-NS1GRID,Net-Auth Services,net_auth,No
Tier 1B,Network Services,network_services,InfoBlox License VM Trinzic V8B5,TE-V825-NS1GRID,Net-Auth Services,net_auth,No
Tier 1C,Network Services,network_services,InfoBlox License VM Trinzic V8B5,TE-V825-NS1GRID,Net-Auth Services,net_auth,No
Tier 2A,Network Services,network_services,InfoBlox License VM Trinzic V8B5,TE-V825-NS1GRID,Net-Auth Services,net_auth,No
Tier 1A,Footprint,footprint,Footprint Server,Dell/EMC/VX Rail,Infra Services,infra,No
Tier 1B,Footprint,footprint,Footprint Server,Dell/EMC/VX Rail,Infra Services,infra,No
Tier 1C,Footprint,footprint,Footprint Server,Dell/EMC/VX Rail,Infra Services,infra,No
Tier 2A,Footprint,footprint,Footprint Server,Dell/EMC/VX Rail,Infra Services,infra,No
Tier 1A,Firewall,firewall,FIREWALL B,PAN 3250,NetOps Services,net_ops,No
Tier 1B,Firewall,firewall,FIREWALL B,PAN 3250,NetOps Services,net_ops,No
Tier 1C,Firewall,firewall,FIREWALL B,PAN 3220,NetOps Services,net_ops,No
Tier 2A,Firewall,firewall,FIREWALL B,PAN 3250,NetOps Services,net_ops,No
Tier 2B,Firewall,firewall,FIREWALL B,PAN 850,NetOps Services,net_ops,No
